om,yr,mo,dy,date,time,tz,datetime_utc,st,stf,mag,inj,fat,loss,slat,slon,elat,elon,len,wid,ns,sn,f1,f2,f3,f4,fc,victims_total,is_deadly,area_sq_mi,has_loss,season,mag_category,us_region,loss_log10,mag_factor,state_annual_fat_total,state_annual_avg_mag,time_of_day
626,1985,9,12,1985-09-12,14:15:00,America/Chicago,1985-09-12T19:15:00Z,FL,12,0,0,0,50000,28.9,-82.48,0,0,0.5,30,1,1,17,0,0,0,FALSE,0,FALSE,0.008522727272727272,TRUE,4,Weak,South,4.698970004336019,0,2,0.5428571428571428,Evening
1085,2007,12,15,2007-12-15,20:30:00,America/Chicago,2007-12-16T02:30:00Z,GA,13,1,0,0,5000,31.87,-83.46,31.88,-83.45,0.5,100,1,1,315,0,0,0,FALSE,0,FALSE,0.028409090909090908,TRUE,1,Weak,South,3.6989700043360187,1,10,1.075,Night
267,2000,5,4,2000-05-04,17:45:00,America/Chicago,2000-05-04T22:45:00Z,AR,5,0,0,0,10000,35.83,-91.38,35.83,-91.38,0.2,10,1,1,63,0,0,0,FALSE,0,FALSE,0.0011363636363636365,TRUE,2,Weak,South,4,0,0,0.5945945945945946,Evening
621080,2022,3,22,2022-03-22,04:35:00,America/Chicago,2022-03-22T09:35:00Z,TX,48,0,4,0,100000,29.4886,-96.0397,29.4936,-96.0237,0.82,30,1,1,157,0,0,0,FALSE,4,FALSE,0.013977272727272725,TRUE,2,Weak,South,5,0,3,1.0254237288135593,Morning
764,1995,6,9,1995-06-09,16:16:00,America/Chicago,1995-06-09T21:16:00Z,TX,48,0,0,0,10000,34.15,-99.45,0,0,0.1,100,1,1,487,0,0,0,FALSE,0,FALSE,0.005681818181818182,TRUE,3,Weak,South,4,0,6,0.354978354978355,Evening
598,1962,8,18,1962-08-18,14:10:00,America/Chicago,1962-08-18T19:10:00Z,FL,12,0,0,0,10000,26.15,-80.43,0,0,0.1,10,1,1,11,0,0,0,FALSE,0,FALSE,5.681818181818183e-4,TRUE,3,Weak,South,4,0,18,1.2777777777777777,Evening
635,2010,6,16,2010-06-16,18:53:00,America/Chicago,2010-06-16T23:53:00Z,SD,46,0,0,0,10000,45.09,-101.64,45.09,-101.64,0.05,30,1,1,137,0,0,0,FALSE,0,FALSE,8.522727272727272e-4,TRUE,3,Weak,Midwest,4,0,0,0.6052631578947368,Evening
102,1976,3,16,1976-03-16,10:00:00,America/Chicago,1976-03-16T16:00:00Z,GA,13,1,0,0,500,31.08,-84.05,0,0,1,50,1,1,205,0,0,0,FALSE,0,FALSE,0.028409090909090908,TRUE,2,Weak,South,2.6989700043360187,1,0,1.25,Afternoon
615680,2017,8,26,2017-08-26,14:50:00,America/Chicago,2017-08-26T19:50:00Z,TX,48,1,0,0,500000,29.907,-95.6872,29.9182,-95.696,0.94,50,1,1,201,0,0,0,FALSE,0,FALSE,0.026704545454545453,TRUE,3,Weak,South,5.698970004336019,1,4,0.6467065868263473,Evening
152,1987,5,25,1987-05-25,20:06:00,America/Chicago,1987-05-26T01:06:00Z,NM,35,0,0,0,10000,32.43,-103.43,0,0,0.2,10,1,1,25,0,0,0,FALSE,0,FALSE,0.0011363636363636365,TRUE,2,Weak,West,4,0,0,0.06666666666666667,Night
616852,2018,10,29,2018-10-29,15:17:00,America/Chicago,2018-10-29T20:17:00Z,OR,41,0,0,0,100000,45.5586,-123.1386,45.5584,-123.13720000000001,0.07,20,1,1,67,0,0,0,FALSE,0,FALSE,7.954545454545456e-4,TRUE,4,Weak,West,5,0,0,0,Evening
1367,2003,12,9,2003-12-09,15:42:00,America/Chicago,2003-12-09T21:42:00Z,AR,5,1,0,0,50000,33.6,-92.48,33.62,-92.48,1,50,1,1,13,0,0,0,FALSE,0,FALSE,0.028409090909090908,TRUE,1,Weak,South,4.698970004336019,1,0,0.8524590163934426,Evening
171,1981,5,9,1981-05-09,12:13:00,America/Chicago,1981-05-09T17:13:00Z,TX,48,3,0,0,5000000,31.97,-97.02,31.93,-96.93,5.2,73,1,1,217,0,0,0,FALSE,0,FALSE,0.2156818181818182,TRUE,2,Strong,South,6.698970004336019,3,1,0.8522727272727273,Afternoon
40,1962,3,11,1962-03-11,18:15:00,America/Chicago,1962-03-12T00:15:00Z,IL,17,1,0,0,500,39.8,-88.3,0,0,0.1,10,1,1,41,0,0,0,TRUE,0,FALSE,5.681818181818183e-4,TRUE,2,Weak,Midwest,2.6989700043360187,1,0,1.3846153846153846,Night
372114,2012,5,19,2012-05-19,17:33:00,America/Chicago,2012-05-19T22:33:00Z,KS,20,3,0,0,500000,37.27,-98.22,37.296,-98.047,9.68,150,1,1,77,0,0,0,FALSE,0,FALSE,0.825,TRUE,2,Strong,Midwest,5.698970004336019,3,1,0.6236559139784946,Evening
39,1977,3,4,1977-03-04,10:00:00,America/Chicago,1977-03-04T16:00:00Z,IN,18,0,0,0,500,40.12,-86.18,0,0,0.1,10,1,1,57,0,0,0,FALSE,0,FALSE,5.681818181818183e-4,TRUE,2,Weak,Midwest,2.6989700043360187,0,1,0.9285714285714286,Afternoon
297477,2011,4,15,2011-04-15,14:06:00,America/Chicago,2011-04-15T19:06:00Z,AL,1,1,0,0,50000,31.6869,-87.2163,31.6928,-87.2053,0.76,100,1,1,99,0,0,0,FALSE,0,FALSE,0.04318181818181818,TRUE,2,Weak,South,4.698970004336019,1,237,1.3014705882352942,Evening
325422,2011,6,9,2011-06-09,14:10:00,America/Chicago,2011-06-09T19:10:00Z,ME,23,0,0,0,10000,46.798,-67.807,46.797,-67.802,0.25,50,1,1,3,0,0,0,FALSE,0,FALSE,0.007102272727272727,TRUE,3,Weak,Northeast,4,0,0,0.4,Evening
621446,2022,5,2,2022-05-02,14:46:00,America/Chicago,2022-05-02T19:46:00Z,KS,20,0,0,0,10000,37.1024,-99.3483,37.1028,-99.3389,0.52,25,1,1,33,0,0,0,FALSE,0,FALSE,0.007386363636363636,TRUE,2,Weak,Midwest,4,0,0,0.8518518518518519,Evening
621,1984,6,17,1984-06-17,16:27:00,America/Chicago,1984-06-17T21:27:00Z,IA,19,0,0,0,10000,42.5,-96.07,0,0,0.1,10,1,1,193,0,0,0,FALSE,0,FALSE,5.681818181818183e-4,TRUE,3,Weak,Midwest,4,0,1,0.847457627118644,Evening
616664,2018,9,8,2018-09-08,15:30:00,America/Chicago,2018-09-08T20:30:00Z,KY,21,1,0,0,3000,37.854,-86.9853,37.8601,-86.9828,0.44,25,1,1,59,0,0,0,FALSE,0,FALSE,0.0062499999999999995,TRUE,4,Weak,South,3.4771212547196626,1,0,0.7428571428571429,Evening
423,2002,11,10,2002-11-10,17:42:00,America/Chicago,2002-11-10T23:42:00Z,TN,47,1,0,0,50000,35.6,-86.15,35.6,-86.08,4.1,50,1,1,31,0,0,0,FALSE,0,FALSE,0.11647727272727271,TRUE,4,Weak,South,4.698970004336019,1,17,1.2,Evening
105,1961,3,16,1961-03-16,19:30:00,America/Chicago,1961-03-17T01:30:00Z,TX,48,2,0,0,5000,29.95,-96.27,0,0,0.1,80,1,1,15,0,0,0,FALSE,0,FALSE,0.004545454545454546,TRUE,2,Strong,South,3.6989700043360187,2,11,1.4193548387096775,Night
658,1996,7,28,1996-07-28,18:25:00,America/Chicago,1996-07-28T23:25:00Z,IL,17,0,0,0,10000,39.92,-89.73,39.92,-89.73,0.1,50,1,1,129,0,0,0,FALSE,0,FALSE,0.002840909090909091,TRUE,3,Weak,Midwest,4,0,1,0.6290322580645161,Evening
777,1980,8,26,1980-08-26,18:30:00,America/Chicago,1980-08-26T23:30:00Z,LA,22,1,0,0,50000,30.2,-93.02,30.12,-93.2,12.5,50,1,1,19,0,0,0,FALSE,0,FALSE,0.35511363636363635,TRUE,3,Weak,South,4.698970004336019,1,2,1.1875,Evening
1027,1973,11,25,1973-11-25,04:00:00,America/Chicago,1973-11-25T10:00:00Z,KY,21,1,0,0,50000,38.58,-85.33,0,0,0.5,10,1,1,223,0,0,0,FALSE,0,FALSE,0.002840909090909091,TRUE,4,Weak,South,4.698970004336019,1,0,1.368421052631579,Morning
613619,2016,3,7,2016-03-07,18:08:00,America/Chicago,2016-03-08T00:08:00Z,TX,48,1,0,0,100000,32.79,-97.98,32.82,-97.97,2.15,300,1,1,367,0,0,0,FALSE,0,FALSE,0.3664772727272727,TRUE,2,Weak,South,5,1,1,0.61,Night
350,1967,5,31,1967-05-31,16:40:00,America/Chicago,1967-05-31T21:40:00Z,FL,12,1,0,0,50000,27.2,-81.8,0,0,0.1,10,1,1,27,0,0,0,TRUE,0,FALSE,5.681818181818183e-4,TRUE,2,Weak,South,4.698970004336019,1,2,1.608695652173913,Evening
